sentence id;perspective class;theme class;phase class;# comment;# text
1449024410;asdasd;;;;# Tarvittaessa lääkäri kirjoittaa teille kipulääkereseptin.
1014790706;;;;;# Kotona kipulääkkeeksi voitte ottaa Teille sopivia reseptivapaita tulehduskipulääkkeitä tai pyytää lääkäriltä kipulääkereseptin
1456835182;;;;;# Lähettävä yksikkö kertoo tutkimustuloksista ja huolehtii tarvittavista jatkotoimenpiteistä.
597522167;;;;;# Ota yhteys omaan terveyskeskukseen, sinua hoitaneeseen yksikköön _____________ tai oman alueesi päivystykseen:
3527626275;;;;;# Tarvittaessa voitte ottaa ulostenäytteen ottamiseen liittyvissä ongelmissa yhteyttä omaan tutkimusta pyytäneeseen osastoon tai poliklinikkaan ja vastausta voitte tiedustella hoitavasta yksiköstä/hoitavalta lääkäriltä sovittuna ajankohtana.
28899981;;;;;# Sinun kannattaa keskustella mieltä painavista asioista hoitoyksikkösi/oman lääkärisi/oman hoitajasi kanssa.
3959731634;;;;;# Hoitajat neuvovat Teitä sivuvaikutuksien hoidossa sädehoitokäyntien yhteydessä.
2731587351;;;;;# Hoitoon liittyvät seurantakokeet otetaan terveyskeskuksessa, jossa lääkäri tarkistaa tulokset.
4235624640;;;;;# Hoitoon liittyvät seurantaverikokeet otetaan terveyskeskuksessa, jossa lääkäri tarkistaa tutkimustulokset.
3800852396;;;;;# Tutkimustuloksista kuulette Teitä hoitavalta lääkäriltä.
3777488941;;;;;# Hoitoon liittyvät seurantakokeet otetaan terveyskeskuksessa, jossa lääkäri tarkistaa kyseiset tulokset.
693130816;;;;;# Sinun kannattaa keskustella mieltäsi painavista asioista oman hoitajasi tai lääkärin kanssa.
758201463;;;;;# Tarvittaessa voitte ottaa yskösnäytteen ottamiseen liittyvissä ongelmissa yhteyttä ensisijaisesti omaan tutkimusta pyytäneeseen osastoon tai mykobakteerilaboratorioon puh.3139177. Vastausta voitte tiedustella hoitavasta yksiköstä / hoitavalta lääkäriltä sovittuna ajankohtana.
1167355827;;;;;# Halutessanne ota yhteyttä sinua hoitavaan yksikköön.
2904800275;;;;;# Tarvittaessa ota yhteyttä sinua hoitavaan lääkäriin tai hoitajaan sädehoitopoliklinikalla.
3367481610;;;;;# Lomasta sovitaan hoitavan lääkärin kanssa.
1842250559;;;;;# Osastolla saatte oman huoneen ja hoitaja opastaa teitä hoitoon liittyvissä käytännön asioissa.
1986672544;;;;;# Voitte ottaa yhteyttä tutkimusta pyytäneeseen osastoon tai poliklinikkaan, mikäli näytteen ottamisessa tulee vastaan ongelmia.
840910370;;;;;# Ongelmatilanteissa ota yhteyttä hoitavaan yksikköön ______________________ tai päivystysaikana:
2396491763;;;;;# Vuorokausivirtsan keräykseen liittyvissä ongelmissa voitte tarvittaessa ottaa yhteyttä tutkimusta pyytäneeseen osastoon tai poliklinikkaan.
3101529117;;;;;# Vastausta voittte tiedustella hoitavasta yksiköstä / hoitavalta lääkärilta sovittuna ajankohtana.
1347786041;;;;;# Vastausta voitte tiedustella hoitavasta yksiköstä / hoitavalta lääkäriltä sovittuna ajankohtana.
2544954150;;;;;# Tarvittaessa voitte ottaa yhteyttä virtsanäytteen ottoon liittyvissä ongelmissa omaan tutkimusta pyytäneeseen osastoon tai poliklinikkaan, ja vastausta voitte tiedustella hoitavasta yksiköstä / hoitavalta lääkäriltä sovittuna ajankohtana.
3808249345;;;;;# Hoitoon liittyvät seurantaverikokeet otetaan kuitenkin terveyskeskuksessa, jossa lääkäri tarkistaa tutkimustulokset.
2681549846;;;;;# Tarvittaessa voitte ottaa näytteen ottamiseen liittyvissä ongelmissa yhteyttä omaan tutkimusta pyytäneeseen osastoon tai poliklinikkaan ja vastausta voitte tiedustella hoitavasta yksiköstä / hoitavalta lääkäriltä sovittuna ajankohtana.
553561138;;;;;# Lääkäri ja hoitajat neuvovat Teitä sivuvaikutuksien hoidossa sädehoitokäyntien yhteydessä.
3321730681;;;;;# Tarvittaessa voitte ottaa yhteyttä tutkimusta pyytäneeseen osastoon tai poliklinikkaan virtsanäytteen ottamiseen liittyvissä ongelmissa.
3147856753;;;;;# Hoitoon liittyvät veri- ja virtsakokeet otetaan terveyskeskuksessa, jossa lääkäri tarkistaa tulokset.
1200913217;;;;;# Ota yhteys lääkäriin tai tarvittaessa neurokirurgian osastoon:
326593479;;;;;# Tilanteen korjaamiseksi niistä kannattaa keskustella teitä hoitavan lääkärin kanssa.
1554341910;;;;;# Tupakoinnin lopettamiseen liittyvissä asioissa voitte ottaa yhteyttä Teitä hoitavan osaston henkilökuntaan.
732490587;;;;;# Särkylääkkeet on erikseen sovittava oman hoitavan lääkärin kanssa.
1861465561;;;;;# Vastauksia voi myös tiedustella puhelimitse oman lääkärin soittoajalla.
2615294532;;;;;# Tarvittaessa voitte ottaa virtsanäytteen ottamiseen liittyvissä ongelmissa yhteyttä omaan tutkimusta pyytäneeseen osastoon tai poliklinikkaan tai Paimion sairaalan laboratorioon, puh. 3134244 ja vastausta voitte tiedustella hoitavasta yksiköstä / hoitavalta lääkäriltä sovittuna ajankohtana.
2334818467;;;;;# Tarvittaessa voitte ottaa virtsanäytteen ottamiseen liittyvissä ongelmissa yhteyttä omaan tutkimusta pyytäneeseen osastoon tai poliklinikkaan ja vastausta voitte tiedustella hoitavasta yksiköstä / hoitavalta lääkäriltä sovittuna ajankohtana.
2687153550;;;;;# Tarvittaessa voitte ottaa vuorokausivirtsan keräykseen liittyvissä ongelmissa yhteyttä omaan tutkimusta pyytäneeseen osastoon tai poliklinikkaan ja vastausta voitte tiedustella hoitavasta yksiköstä / hoitavalta lääkäriltä sovittuna ajankohtana.
559966968;;;;;# Sinun kannattaa keskustella mieltäsi painavista asioista lääkärisi tai oman hoitajasi kanssa.
1348273580;;;;;# Mieltä painavista asioista kannattaa keskustella sinua hoitavan lääkärin ja sairaanhoitajan kanssa.
2438540282;;;;;# Keskustele ongelmasta lääkärin kanssa.
2943484553;;;;;# Hoitoon liittyvät seurantaverikokeet otetaan terveyskeskuksessa, missä myöskin lääkäri tarkistaa kyseiset tutkimustulokset.
1589264048;;;;;# Voitte ottaa yhteyttä vainajan hoitoon ja kuolemaan liittyvissä asioissa vainajaa hoitaneeseen osastoon.
2520242419;;;;;# Ota yhteyttä sinua hoitaneeseen yksikköön, jos
647535350;;;;;# Teillä on mahdollisuus kysyä teitä askarruttavista hoitoonne liittyvistä asioista.
1235859423;;;;;# Näistä tuntohäiriöistä sinun tulee aina mainita hoitavalle lääkärille tai omalle hoitajallesi.
1510596074;;;;;# Keskustele asiasta lääkärin tai hoitohenkilökunnan kanssa.
4101827863;;;;;# Ongelmatilanteissa ota yhteyttä hoitavaan yksikköön ______________________
1008989603;;;;;# Tarvittaessa voitte ottaa ulostenäytteen ottamiseen liittyvissä ongelmissa yhteyttä omaan tutkimusta pyytäneeseen osastoon tai poliklinikkaan.
1038648086;;;;;# Tutkimuksen tulosta voitte tiedustella hoitavasta yksiköstä / hoitavalta lääkäriltä sovittuna ajankohtana.
2911570888;;;;;# Hoitoon liittyvät seurantaverikokeet otetaan terveyskeskuksessa, jossa lääkäri tarkistaa kyseiset kokeet.
;;;;;
1122425200;;;;;# Nukutusriskien vähentämiseksi potilaan tulee olla syömättä ja juomatta ennen toimenpidettä seuraavasti:
2916044619;;;;;# Ennen tutkimusta on oltava syömättä ja juomatta neljä tuntia.
2225768682;;;;;# Toimenpidepäivänä olette syömättä ja juomatta 6 tuntia ennen toimenpidettä.
1143820628;;;;;# Valmistelut ennen toimenpidettä?
2996804046;;;;;# Ennen tutkimusta Teidän tulee olla syömättä ja juomatta vähintään neljä tuntia.
275564862;;;;;# Toimenpidettä edeltävästi tulee olla juomatta ja syömättä edellisestä illasta lähtien.
2495349069;;;;;# Ole syömättä 6 tuntia ja kokonaan juomatta 2 tuntia ennen sairaalaan tuloa.
603526354;;;;;# Vaikka toimenpide tehdään paikallispuudutuksessa, edeltävästä illasta klo 24:stä lähtien tulee olla syömättä ja juomatta.
1861503398;;;;;# Toimenpiteen takia olkaa syömättä ja juomatta tutkimusta edeltävästä yöstä klo 24 alkaen.
2768629800;;;;;# Kuusi tuntia ennen toimenpidettä pitää olla syömättä ja kaksi tuntia ennen juomatta.
